counts,plate,total counts,CFU,culture,bug,timePoint,antibiotic
289,4,2890000,9633333.333,mono,Sa,0,Control
52,5,5200000,17333333.33,wt,Sa,0,Control
53,5,5300000,17666666.67,mut,Sa,0,Control
126,5,12600000,42000000,wt,Pa,0,Control
114,5,11400000,38000000,mut,Pa,0,Control
289,4,2890000,9633333.333,mono,Sa,0,TOB
52,5,5200000,17333333.33,wt,Sa,0,TOB
53,5,5300000,17666666.67,mut,Sa,0,TOB
126,5,12600000,42000000,wt,Pa,0,TOB
114,5,11400000,38000000,mut,Pa,0,TOB
50,6,50000000,333333333.3,mono,Sa,3,Control
372,5,37200000,248000000,wt,Sa,3,Control
429,5,42900000,286000000,mut,Sa,3,Control
172,5,17200000,114666666.7,wt,Pa,3,Control
195,5,19500000,130000000,mut,Pa,3,Control
188,5,18800000,125333333.3,mono,Sa,3,TOB
122,5,12200000,81333333.33,wt,Sa,3,TOB
22,5,2200000,14666666.67,mut,Sa,3,TOB
79,5,7900000,52666666.67,wt,Pa,3,TOB
126,5,12600000,84000000,mut,Pa,3,TOB
59,6,59000000,393333333.3,mono,Sa,4,Control
57,6,57000000,380000000,wt,Sa,4,Control
32,6,32000000,213333333.3,mut,Sa,4,Control
289,5,28900000,192666666.7,mono,Sa,4,TOB
216,5,21600000,144000000,wt,Sa,4,TOB
134,4,1340000,8933333.333,mut,Sa,4,TOB
350,5,35000000,233333333.3,wt,Pa,4,TOB
510,4,5100000,34000000,mut,Pa,4,TOB
80,6,80000000,533333333.3,mono,Sa,5,Control
43,6,43000000,286666666.7,wt,Sa,5,Control
35,6,35000000,233333333.3,mut,Sa,5,Control
74,6,74000000,493333333.3,mono,Sa,5,TOB
25,6,25000000,166666666.7,wt,Sa,5,TOB
187,3,187000,187000,mut,Sa,5,TOB
62,5,6200000,41333333.33,wt,Pa,5,TOB
117,5,11700000,78000000,mut,Pa,5,TOB
